Date;Time;Chamber;Treatment;sampling time;chamber volume;chamber area;Soil C T;Air C T;K T;Pressure (mb);Pressure (atm);Date analyses;N2O (ppb);CH4 (ppm);CO2 (ppm)
24/11/2013;09:00;1;Sem palha;0;83,6;4,761904762;16;19,4;289;969;0,956403;25/11/2013;237;2.034;397.150
24/11/2013;09:00;1;Sem palha;15;83,6;4,761904762;16;19,4;289;969;0,956403;25/11/2013;330;1.912;1.341.827
24/11/2013;09:00;1;Sem palha;30;83,6;4,761904762;16;19,4;289;969;0,956403;25/11/2013;348;2.105;2.171.119
24/11/2013;09:00;2;Sem palha;0;86,2;4,761904762;16;19,4;289;969;0,956403;25/11/2013;334;1.996;404.754
24/11/2013;09:00;2;Sem palha;15;86,2;4,761904762;16;19,4;289;969;0,956403;25/11/2013;253;1.982;1.304.262
24/11/2013;09:00;2;Sem palha;30;86,2;4,761904762;16;19,4;289;969;0,956403;25/11/2013;305;2.063;1.938.253
24/11/2013;09:00;3;Sem palha;0;85,8;4,761904762;16;19,4;289;969;0,956403;25/11/2013;287;2.096;437.470
24/11/2013;09:00;3;Sem palha;15;85,8;4,761904762;16;19,4;289;969;0,956403;25/11/2013;267;1.939;1.228.106
24/11/2013;09:00;3;Sem palha;30;85,8;4,761904762;16;19,4;289;969;0,956403;25/11/2013;280;2.098;2.055.902
24/11/2013;09:00;4;Sem palha;0;88,3;4,761904762;16;19,4;289;969;0,956403;25/11/2013;351;1.986;503.934
24/11/2013;09:00;4;Sem palha;15;88,3;4,761904762;16;19,4;289;969;0,956403;25/11/2013;315;1.967;1.403.959
24/11/2013;09:00;4;Sem palha;30;88,3;4,761904762;16;19,4;289;969;0,956403;25/11/2013;270;1.894;2.340.325
24/11/2013;09:00;5;Sem palha;0;84,0;4,761904762;16;19,4;289;969;0,956403;25/11/2013;319;2.058;420.781
24/11/2013;09:00;5;Sem palha;15;84,0;4,761904762;16;19,4;289;969;0,956403;25/11/2013;307;1.910;1.433.637
24/11/2013;09:00;5;Sem palha;30;84,0;4,761904762;16;19,4;289;969;0,956403;25/11/2013;321;2.008;2.479.692
24/11/2013;09:00;6;1/3 palha;0;89,9;4,761904762;16;19,4;289;969;0,956403;25/11/2013;345;1.985;497.992
24/11/2013;09:00;6;1/3 palha;15;89,9;4,761904762;16;19,4;289;969;0,956403;25/11/2013;281;1.967;1.708.848
24/11/2013;09:00;6;1/3 palha;30;89,9;4,761904762;16;19,4;289;969;0,956403;25/11/2013;435;2.005;2.779.965
24/11/2013;09:00;7;1/3 palha;0;85,9;4,761904762;16;19,4;289;969;0,956403;25/11/2013;376;1.969;527.297
24/11/2013;09:00;7;1/3 palha;15;85,9;4,761904762;16;19,4;289;969;0,956403;25/11/2013;285;2.053;1.760.839
24/11/2013;09:00;7;1/3 palha;30;85,9;4,761904762;16;19,4;289;969;0,956403;25/11/2013;386;2.055;2.963.436
24/11/2013;09:00;8;1/3 palha;0;88,6;4,761904762;16;19,4;289;969;0,956403;25/11/2013;358;2.053;555.924
24/11/2013;09:00;8;1/3 palha;15;88,6;4,761904762;16;19,4;289;969;0,956403;25/11/2013;307;1.990;1.735.265
24/11/2013;09:00;8;1/3 palha;30;88,6;4,761904762;16;19,4;289;969;0,956403;25/11/2013;231;2.001;3.052.018
